cluster
966809
1572574
8591409942
1563098
1572572
1572567
1572580
1572632
8590883239
1572566
1572604
29791
17180404592
1378884
8591253320
1572591
1572594
17180679245
8590583839
34360080163
68720536317
1568206
1572626
25771149013
34360080149
60130202022
1572633
34360302383
77310558501
146030139229
85900098595
85900098596
171798993598
42950051789
8590583836
42950989624
60129828015
17180149120
17180149142
68719853574
42949960648
42950989618
77310673735
17181136982
17180149106
42950047773
42950047776
171799437160
815527
34360080151
171799437201
17180234172
146029027211
163209494481
180389350513
446677923287
17180149125
42950047765
42950047785
42950047795
60130381435
77309808211
17180189084
34360537288
42950047794
77309808225
77309808250
240519219812
541167153311
17181401907
34360537292
51540123543
77309808244
120259660498
120259660500
146029399943
163209832600
163209832611
377957783176
412317960403
489626552795
541167153318
8590139606
34360775632
34360775634
42950047766
77309808256
77309808259
128849185756
163209832622
240519219830
274878124425
300648427967
369368494240
386547901249
412317960413
412317960416
489626552796
489626552800
541167153321
549756950304
652835849694
824634370853
17181401911
34360775675
42950047774
85900284975
103080719234
146029399949
163209832593
163209832605
163209832661
257698466948
326418883730
412317960415
412317960420
463857748129
541166701767
558346011848
609885598559
824634370872
85899680252
120259660511
120259660521
120259660532
163209832613
163209832623
163209832642
163209832645
163209832648
188979069394
386548150869
412317960418
455267184215
472446539997
489626552798
609885598556
627066000716
644246402701
695785739727
807454288500
927714424851
927714424874
1116691843164
60131001786
68719853579
77310192149
85899680263
120259660533
146030198773
163209832592
163209832594
163209832599
163209832601
163209832610
163209832621
163209832625
163209832627
163209832631
163209832636
163209832637
163209832643
163209832646
163209832660
163209832662
163209832667
163209832671
223339367139
352187668717
472446539981
472446540001
489626552799
541167153323
549756950298
627066000685
627066000721
627066000722
627066000732
627066000738
627066000758
627066000759
687194994361
687195190654
695785739731
712965235169
781684665460
798864393122
798864720396
824635238248
867583741320
919123952051
927714424845
927714424847
927714424857
927714424881
927714424883
927714424886
927714424895
927714424908
927714424915
927714424920
1116691843171
1116691843173
1262721187048
1382979941589
